City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,Bredasdorp,-34.5322,20.0403,76.28,69,3,8.05,ZA,2022-03-09 07:23:19
143,Wawa,9.9022,4.4192,80.67,16,19,3.76,NG,2022-03-09 07:23:20
144,Vanimo,-2.6741,141.3028,81.73,80,31,5.68,PG,2022-03-09 07:23:20
145,Aksaray,38.3726,34.0254,36.99,95,100,3.71,TR,2022-03-09 07:23:21
146,Provideniya,64.3833,-173.3,11.66,80,1,10.6,RU,2022-03-09 07:23:21
147,Port-Gentil,-0.7193,8.7815,81.95,80,100,10.98,GA,2022-03-09 07:23:22
148,Olafsvik,64.8945,-23.7142,36.43,83,100,9.26,IS,2022-03-09 07:23:22
149,Lasa,46.6166,10.7002,36.86,54,70,5.12,IT,2022-03-09 07:23:23
150,Antalaha,-14.9003,50.2788,81.86,75,100,1.36,MG,2022-03-09 07:23:23
151,Chikwawa,-16.0335,34.8009,78.55,81,78,3.8,MW,2022-03-09 07:21:19
152,Llanes,43.4198,-4.7549,51.46,70,100,6.91,ES,2022-03-09 07:23:24
153,Surt,31.2089,16.5887,57.24,55,29,17.78,LY,2022-03-09 07:23:24
154,Aklavik,68.2191,-135.0107,0.43,97,100,5.97,CA,2022-03-09 07:23:25
155,Hualmay,-11.0964,-77.6139,72.41,81,100,6.46,PE,2022-03-09 07:23:25
156,Kuytun,54.3419,101.5036,20.77,77,100,9.4,RU,2022-03-09 07:23:26
157,Gat,31.61,34.7642,69.4,72,66,10.22,IL,2022-03-09 07:23:26
158,Nikel,69.4128,30.222,12.38,92,68,6.26,RU,2022-03-09 07:23:27
159,Mossendjo,-2.9506,12.7261,73.54,95,100,3.27,CG,2022-03-09 07:23:27
160,Nouadhibou,20.931,-17.0347,58.98,88,5,18.41,MR,2022-03-09 07:23:28
161,Kungurtug,50.5994,97.5228,29.26,63,59,2.37,RU,2022-03-09 07:23:29
162,Chokurdakh,70.6333,147.9167,-2.43,94,100,7.31,RU,2022-03-09 07:23:29
163,Morogoro,-6.8167,37.6667,77.56,80,100,4.16,TZ,2022-03-09 07:23:29
164,Tasiilaq,65.6145,-37.6368,17.76,86,100,7.87,GL,2022-03-09 07:23:30
165,Olga,43.7444,135.2892,41.5,53,15,4.36,RU,2022-03-09 07:23:30
166,Pascagoula,30.3658,-88.5561,71.62,96,100,3.44,US,2022-03-09 07:23:31
167,Vao,-22.6667,167.4833,79.97,74,6,7.92,NC,2022-03-09 07:23:31
168,Lavrentiya,65.5833,-171.0,5.95,86,18,6.4,RU,2022-03-09 07:23:32
169,Grieskirchen,48.2333,13.8333,34.02,82,2,0.87,AT,2022-03-09 07:23:32
170,Verkhoyansk,67.5447,133.385,-9.94,90,100,1.54,RU,2022-03-09 07:23:33
171,Panukulan,14.9333,121.8144,78.75,73,100,20.89,PH,2022-03-09 07:23:33
172,Price,39.5994,-110.8107,33.06,51,100,3.44,US,2022-03-09 07:23:34
173,Hofn,64.2539,-15.2082,39.0,89,100,38.5,IS,2022-03-09 07:23:34
174,Bambous Virieux,-20.3428,57.7575,85.21,89,40,6.91,MU,2022-03-09 07:23:35
175,Byron Bay,-28.65,153.6167,84.15,93,41,17.81,AU,2022-03-09 07:23:35
176,Lulea,65.5842,22.1547,17.67,93,75,4.61,SE,2022-03-09 07:20:46
177,Sur,22.5667,59.5289,85.91,34,4,1.05,OM,2022-03-09 07:23:36
178,Ilulissat,69.2167,-51.1,-20.09,73,0,7.27,GL,2022-03-09 07:24:36
179,Puerto Narino,-3.7703,-70.3831,71.55,99,94,1.74,CO,2022-03-09 07:24:37
180,Avarua,-21.2078,-159.775,80.65,83,20,9.22,CK,2022-03-09 07:24:37
181,Hastings,50.8552,0.5729,48.58,81,89,13.8,GB,2022-03-09 07:24:38
182,Fleetwood,53.9253,-3.0109,46.85,88,100,24.4,GB,2022-03-09 07:24:39
183,Abu Kamal,34.4506,40.9171,68.2,34,97,27.29,SY,2022-03-09 07:24:40
184,Copiapo,-27.3667,-70.3333,66.11,73,0,1.54,CL,2022-03-09 07:24:41
185,Gwanda,-20.9333,29.0,73.78,53,1,12.46,ZW,2022-03-09 07:24:41
186,Sladkovo,55.5284,70.3385,5.05,88,100,2.66,RU,2022-03-09 07:24:42
187,Ngaoundere,7.3167,13.5833,76.37,45,100,3.94,CM,2022-03-09 07:24:42
188,Pyshma,56.9523,63.2513,10.56,86,100,4.0,RU,2022-03-09 07:25:18
189,Split,43.5089,16.4392,43.84,42,0,12.66,HR,2022-03-09 07:25:02
190,Zhicheng,30.2956,111.5047,71.49,47,0,5.08,CN,2022-03-09 07:25:19
191,Nome,64.5011,-165.4064,18.16,86,0,0.0,US,2022-03-09 07:25:19
192,Belmonte,-15.8631,-38.8828,73.9,87,25,1.79,BR,2022-03-09 07:25:19
193,Saint-Francois,46.4154,3.9054,37.42,93,4,2.3,FR,2022-03-09 07:25:20
194,Cayenne,4.9333,-52.3333,76.08,87,75,10.36,GF,2022-03-09 07:25:21
195,Vila Velha,-20.3297,-40.2925,71.55,100,0,2.3,BR,2022-03-09 07:25:21
196,Nerchinskiy Zavod,51.3088,119.61,32.16,90,58,5.44,RU,2022-03-09 07:25:22
197,Nemuro,43.3236,145.575,36.03,67,3,2.26,JP,2022-03-09 07:25:22
198,Ngunguru,-35.6167,174.5,68.16,75,22,13.44,NZ,2022-03-09 07:25:23
199,Thompson,55.7435,-97.8558,-7.44,71,75,5.75,CA,2022-03-09 07:25:01
200,Popondetta,-8.7537,148.2534,84.02,70,100,4.03,PG,2022-03-09 07:25:23
201,Ponta Delgada,37.7333,-25.6667,56.12,82,20,6.91,PT,2022-03-09 07:25:24
202,Gobabis,-22.45,18.9667,72.1,59,0,8.7,NA,2022-03-09 07:25:24
203,Majenang,-7.2975,108.7642,85.75,75,69,4.12,ID,2022-03-09 07:25:25
204,Mehamn,71.0357,27.8492,32.18,80,75,14.97,NO,2022-03-09 07:25:25
205,Chuy,-33.6971,-53.4616,63.43,78,99,7.23,UY,2022-03-09 07:25:26
206,Puerto Penasco,31.3167,-113.5333,60.93,32,0,8.19,MX,2022-03-09 07:25:27
207,Nanakuli,21.3906,-158.1547,74.71,75,0,3.44,US,2022-03-09 07:25:27
208,Shimoda,34.6667,138.95,52.16,61,100,7.67,JP,2022-03-09 07:25:27
209,Calvinia,-31.4707,19.776,79.88,40,0,6.87,ZA,2022-03-09 07:25:28
210,Ukiah,39.1502,-123.2078,53.02,52,0,0.0,US,2022-03-09 07:24:10
211,Manggar,-2.8833,108.2667,86.45,66,99,4.5,ID,2022-03-09 07:25:29
212,La Palma,33.8464,-118.0467,60.37,66,0,6.91,US,2022-03-09 07:25:29
213,Okhotsk,59.3833,143.3,22.55,96,100,9.71,RU,2022-03-09 07:25:30
214,Pasighat,28.0667,95.3333,89.98,20,1,5.39,IN,2022-03-09 07:25:30
215,El Tigre,8.8875,-64.2454,72.99,83,100,10.18,VE,2022-03-09 07:25:31
216,Kapaa,22.0752,-159.319,73.38,70,40,4.61,US,2022-03-09 07:25:31
217,Bourail,-21.5667,165.4833,80.76,76,69,8.01,NC,2022-03-09 07:25:32
218,Bandarbeyla,9.4942,50.8122,79.97,56,67,11.41,SO,2022-03-09 07:25:32
219,Prince Rupert,54.3161,-130.3201,40.69,64,0,10.36,CA,2022-03-09 07:25:33
220,Riyadh,24.6877,46.7219,75.34,17,4,13.65,SA,2022-03-09 07:22:18
221,Anadyr,64.75,177.4833,21.7,79,0,2.24,RU,2022-03-09 07:26:34
