City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
164,Fortuna,US,40.5982,-124.1573,47.66,95,100,5.75,overcast clouds
165,Volovo,UA,48.5246,23.5056,37.15,76,100,2.77,overcast clouds
166,Mar Del Plata,AR,-38.0023,-57.5575,62.87,87,0,21.99,clear sky
167,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,71.87,100,97,2.08,overcast clouds
168,Cidreira,BR,-30.1811,-50.2056,73.67,76,100,14.14,overcast clouds
169,Tyubuk,RU,56.0552,60.9405,8.96,91,98,2.44,overcast clouds
170,Teruel,ES,40.6667,-0.6667,38.07,84,100,6.04,overcast clouds
171,Qui Nhon,VN,13.7667,109.2333,79.61,71,85,8.19,overcast clouds
172,New Norfolk,AU,-42.7826,147.0587,72.88,64,90,4.0,overcast clouds
173,Bilma,NE,18.6853,12.9164,62.98,20,16,8.93,few clouds
174,Jacareacanga,BR,-6.2222,-57.7528,71.13,99,100,1.97,overcast clouds
175,Oboyan,RU,51.2098,36.2792,15.21,95,72,8.28,broken clouds
176,Sao Filipe,CV,14.8961,-24.4956,69.19,72,4,12.77,clear sky
177,Ostrovnoy,RU,68.0531,39.5131,29.91,88,53,15.48,broken clouds
178,Komsomolskiy,UZ,40.4272,71.7189,47.12,87,100,2.3,mist
179,Kloulklubed,PW,7.0419,134.2556,82.9,81,100,11.97,overcast clouds
180,La Plaine,DM,15.3333,-61.25,75.49,77,49,22.15,scattered clouds
181,Coquimbo,CL,-29.9533,-71.3436,61.63,88,12,2.66,few clouds
182,Te Anau,NZ,-45.4167,167.7167,62.17,61,23,2.75,few clouds
183,Jemnice,CZ,49.019,15.5699,41.23,90,100,18.16,overcast clouds
184,Fort Nelson,CA,58.8053,-122.7002,13.59,85,75,2.3,broken clouds
185,Santa Cruz,BO,-17.8,-63.1667,65.66,88,17,4.61,few clouds
186,Longyearbyen,SJ,78.2186,15.6401,40.84,70,75,24.16,moderate rain
187,Taksimo,RU,56.3444,114.8794,5.72,61,39,0.31,scattered clouds
188,Makakilo City,US,21.3469,-158.0858,75.56,70,0,4.61,clear sky
189,Colares,PT,38.7992,-9.4469,60.48,66,40,19.82,scattered clouds
190,Lamin,GM,13.3522,-16.4339,66.31,47,32,11.05,scattered clouds
191,Plouzane,FR,48.3833,-4.6167,50.32,97,100,6.91,mist
192,Rio Grande,BR,-32.035,-52.0986,65.95,89,1,11.03,clear sky
193,Dunedin,NZ,-45.8742,170.5036,53.8,72,100,5.01,overcast clouds
194,Praya,CV,14.9215,-23.5087,68.54,64,40,18.41,scattered clouds
195,Boden,SE,65.8252,21.6886,24.8,96,20,5.32,few clouds
196,Byron Bay,AU,-28.65,153.6167,73.71,84,63,9.53,broken clouds
197,Sangar,RU,63.9242,127.4739,0.77,83,86,3.29,overcast clouds
198,Avarua,CK,-21.2078,-159.775,78.85,83,19,2.3,few clouds
199,Teknaf,BD,20.8624,92.3058,87.03,42,20,9.66,few clouds
200,Togur,RU,58.3631,82.8265,11.08,87,97,6.2,overcast clouds
201,Valleyview,CA,55.0667,-117.2859,35.64,60,73,9.22,broken clouds
202,North Myrtle Beach,US,33.816,-78.68,62.11,80,75,4.61,broken clouds
203,Huarmey,PE,-10.0681,-78.1522,72.18,77,25,6.58,scattered clouds
204,Port Elizabeth,ZA,-33.918,25.5701,62.89,94,20,5.75,few clouds
205,Cherskiy,RU,68.75,161.3,0.45,96,100,6.82,overcast clouds
206,Sambava,MG,-14.2667,50.1667,80.89,77,100,2.93,overcast clouds
207,Kruisfontein,ZA,-34.0033,24.7314,59.88,69,6,3.06,clear sky
208,Chitipa,MW,-9.7024,33.2697,67.69,91,99,1.16,overcast clouds
209,Butembo,CD,0.15,29.2833,72.54,51,77,0.76,broken clouds
210,Pathardi,IN,19.1667,75.1833,94.64,12,64,8.66,broken clouds
211,Imperia,IT,43.9667,7.7833,50.0,81,74,7.36,broken clouds
212,Duldurga,RU,50.6761,113.5931,15.19,49,50,12.26,scattered clouds
213,Rawatbhata,IN,24.9333,75.5833,99.64,10,46,15.52,scattered clouds
214,Palmer,US,42.1584,-72.3287,41.95,90,75,3.44,broken clouds
215,Maniitsoq,GL,65.4167,-52.9,-4.47,96,100,5.3,light snow
216,Acarau,BR,-2.8856,-40.12,75.72,89,100,2.84,overcast clouds
217,Fruitvale,US,39.0817,-108.4968,46.0,49,0,4.61,clear sky
218,Kodiak,US,57.79,-152.4072,36.91,87,100,10.36,light rain
219,Courtenay,CA,49.6866,-124.9936,48.13,81,20,0.0,few clouds
220,Navlya,RU,52.8281,34.4989,23.14,85,10,6.04,clear sky
221,Khartoum,SD,15.5518,32.5324,62.02,26,31,3.0,scattered clouds
222,Srednekolymsk,RU,67.45,153.6833,0.66,90,100,5.99,overcast clouds
223,Hasaki,JP,35.7333,140.8333,63.28,70,30,8.41,scattered clouds
224,San Carlos De Bariloche,AR,-41.1456,-71.3082,53.35,62,0,6.91,clear sky
225,Port Hedland,AU,-20.3167,118.5667,100.45,44,36,14.97,scattered clouds
226,Bhigvan,IN,18.3167,74.7667,95.65,12,68,8.59,broken clouds
227,Mobile,US,30.7835,-88.2,60.35,91,0,0.0,clear sky
228,Airai,TL,-8.9266,125.4092,69.91,80,38,3.44,scattered clouds
229,Olinda,BR,-8.0089,-34.8553,80.33,83,40,6.91,scattered clouds
230,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,66.13,50,0,3.87,clear sky
231,Mandalgovi,MN,45.7625,106.2708,21.27,26,83,6.96,broken clouds
232,Paamiut,GL,61.994,-49.6678,4.41,92,100,3.83,light snow
233,Billings,US,45.7833,-108.5007,47.28,62,75,21.85,broken clouds
234,Yerbogachen,RU,61.2767,108.0108,8.8,79,100,5.5,overcast clouds
235,Kondagaon,IN,19.6,81.6667,97.86,12,77,6.42,broken clouds
236,Wasilla,US,61.5814,-149.4394,28.74,53,100,12.66,overcast clouds
237,Coihaique,CL,-45.5752,-72.0662,57.15,67,37,2.3,light rain
238,Margate,GB,51.3813,1.3862,47.3,87,100,4.0,overcast clouds
239,Ponot,PH,8.452,123.0222,83.97,80,76,7.65,broken clouds
240,Klaksvik,FO,62.2266,-6.589,40.12,64,55,20.56,broken clouds
241,Bandarban,BD,22.1965,92.2262,99.66,14,3,4.52,clear sky
242,Robertsport,LR,6.7533,-11.3686,78.04,86,73,2.37,broken clouds
243,Ilulissat,GL,69.2167,-51.1,-3.98,54,100,14.97,overcast clouds
